variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
candidate,3,byte-15-0,query,0,1,4096,16298459,0,0,0,0,6584442294199094370
candidate,3,byte-15-0,build,0,2,2632,640667,0,0,0,0,1583706055
candidate,3,byte-15-0,query,0,2,4096,16038875,0,0,0,0,6584442294199094370
candidate,3,byte-15-0,build,0,3,2632,700542,0,0,0,0,1583706055
candidate,3,byte-15-0,query,0,3,4096,16090667,0,0,0,0,6584442294199094370
candidate,3,bit-3-0,build,0,1,5690,1745375,0,0,0,0,3340569477
candidate,3,bit-3-0,query,0,1,4096,26987083,0,0,0,0,6584442294199094370
candidate,3,bit-3-0,build,0,2,5690,1737958,0,0,0,0,3340569477
candidate,3,bit-3-0,query,0,2,4096,26878666,0,0,0,0,6584442294199094370
candidate,3,bit-3-0,build,0,3,5690,1837125,0,0,0,0,3340569477
candidate,3,bit-3-0,query,0,3,4096,26482666,0,0,0,0,6584442294199094370
candidate,3,bit-15-0,build,0,1,2632,965542,0,0,0,0,3904194795
candidate,3,bit-15-0,query,0,1,4096,24146625,0,0,0,0,6584442294199094370
candidate,3,bit-15-0,build,0,2,2632,968792,0,0,0,0,3904194795
candidate,3,bit-15-0,query,0,2,4096,24366291,0,0,0,0,6584442294199094370
candidate,3,bit-15-0,build,0,3,2632,1042291,0,0,0,0,3904194795
candidate,3,bit-15-0,query,0,3,4096,24240791,0,0,0,0,6584442294199094370
candidate,3,byte-3-4096,build,0,1,5690,1210959,0,0,0,0,2588134493
candidate,3,byte-3-4096,query,0,1,4096,21420167,0,0,0,0,6584442294199094370
candidate,3,byte-3-4096,build,0,2,5690,1220625,0,0,0,0,2588134493
candidate,3,byte-3-4096,query,0,2,4096,21062083,0,0,0,0,6584442294199094370
candidate,3,byte-3-4096,build,0,3,5690,1242541,0,0,0,0,2588134493
candidate,3,byte-3-4096,query,0,3,4096,21381750,0,0,0,0,6584442294199094370
candidate,3,byte-15-4096,build,0,1,2632,628167,0,0,0,0,1896941275
candidate,3,byte-15-4096,query,0,1,4096,18585459,0,0,0,0,6584442294199094370
candidate,3,byte-15-4096,build,0,2,2632,758959,0,0,0,0,1896941275
candidate,3,byte-15-4096,query,0,2,4096,18517375,0,0,0,0,6584442294199094370
candidate,3,byte-15-4096,build,0,3,2632,613625,0,0,0,0,1896941275
candidate,3,byte-15-4096,query,0,3,4096,18654459,0,0,0,0,6584442294199094370
candidate,3,bit-3-4096,build,0,1,5690,1744583,0,0,0,0,3555944624
candidate,3,bit-3-4096,query,0,1,4096,30252583,0,0,0,0,6584442294199094370
candidate,3,bit-3-4096,build,0,2,5690,2010083,0,0,0,0,3555944624
candidate,3,bit-3-4096,query,0,2,4096,31003875,0,0,0,0,6584442294199094370
candidate,3,bit-3-4096,build,0,3,5690,1879166,0,0,0,0,3555944624
candidate,3,bit-3-4096,query,0,3,4096,30607750,0,0,0,0,6584442294199094370
candidate,3,bit-15-4096,build,0,1,2632,1014625,0,0,0,0,2558807147
candidate,3,bit-15-4096,query,0,1,4096,26926291,0,0,0,0,6584442294199094370
candidate,3,bit-15-4096,build,0,2,2632,968834,0,0,0,0,2558807147
candidate,3,bit-15-4096,query,0,2,4096,26878042,0,0,0,0,6584442294199094370
candidate,3,bit-15-4096,build,0,3,2632,1193167,0,0,0,0,2558807147
candidate,3,bit-15-4096,query,0,3,4096,27686250,0,0,0,0,6584442294199094370
baseline,3,byte-3-0,build,0,1,5690,1361250,0,0,0,0,1761918743
baseline,3,byte-3-0,query,0,1,4096,18299375,0,0,0,0,6584442294199094370
